Date,Open,High,Low,Close,Adj Close,Volume
2022/10/7,70.849998,71.099998,65.5,67,67,11427900
2022/10/10,67.580002,69.260002,65.43,67.040001,67.040001,7714000
2022/10/11,67.610001,72.690002,65.029999,70.160004,70.160004,17705600
2022/10/12,69.739998,71.849998,67.82,69.949997,69.949997,8998900
2022/10/13,63.66,69.629997,61.060001,69.260002,69.260002,18342000
2022/10/14,71.849998,73.790001,63.380001,63.59,63.59,13711600
2022/10/17,66.480003,70.949997,66.339996,69.169998,69.169998,11263300
2022/10/18,72.900002,73.900002,65.300003,66.209999,66.209999,13874700
2022/10/19,64.82,66.889999,62.549999,63.189999,63.189999,8601100
2022/10/20,63.139999,67.43,62.700001,63.59,63.59,8938700
2022/10/21,63.400002,66.629997,61.700001,66.379997,66.379997,9156400
2022/10/24,67.400002,68.150002,63.68,66.389999,66.389999,8111700
2022/10/25,67.010002,75.400002,66.959999,75.050003,75.050003,14446900
2022/10/26,75.279999,78.290001,73.099998,73.809998,73.809998,14102500
2022/10/27,74.510002,75.650002,71.510002,72.470001,72.470001,5967600
2022/10/28,72,73.720001,69.349998,72.07,72.07,7372100
2022/10/31,72.370003,74.650002,66.150002,66.25,66.25,10648400
2022/11/1,69,69.709999,63.130001,63.290001,63.290001,8238200
2022/11/2,63.400002,66.209999,60.549999,60.709999,60.709999,12700900
2022/11/3,59.400002,61.880001,55.75,55.799999,55.799999,14238800
2022/11/4,60.400002,63.43,56.400002,58.82,58.82,18901400
2022/11/7,60,60.990002,54.220001,56.970001,56.970001,13659100
2022/11/8,54.5,58.450001,47.689999,50.830002,50.830002,61868200
2022/11/9,47.09,49.689999,44.619999,45.98,45.98,42274200
2022/11/10,51.040001,53.93,49.02,50.919998,50.919998,30695400
2022/11/11,47.5,58.290001,46.25,57.459999,57.459999,30584500
2022/11/14,55.700001,55.740002,52.599998,53.220001,53.220001,16150900
2022/11/15,55,58,54.599998,55.529999,55.529999,14805300
2022/11/16,52.830002,54.029999,48,48.830002,48.830002,24054700
2022/11/17,46.669998,49.970001,45.18,48.790001,48.790001,17974700
2022/11/18,48.799999,49,44.310001,45.259998,45.259998,20287300
2022/11/21,43.599998,44.639999,40.610001,41.23,41.23,22382000
2022/11/22,42.349998,44.400002,41.610001,43.389999,43.389999,20783100
2022/11/23,43.849998,46.169998,42.209999,45.57,45.57,14665800
2022/11/25,44.759998,45.240002,43.700001,44.279999,44.279999,6451500
2022/11/28,43.299999,44.900002,42.02,42.509998,42.509998,10497900
2022/11/29,42.91,44.650002,42.700001,43.110001,43.110001,9090600
2022/11/30,43.709999,45.880001,41.509998,45.73,45.73,15562700
2022/12/1,45.82,47.189999,44.439999,45.27,45.27,11579400
2022/12/2,43.970001,47.700001,43.73,47.669998,47.669998,10372100
2022/12/5,47.98,49.849998,45.630001,46,46,11228300
2022/12/6,45.599998,46.650002,41.73,42.41,42.41,12156100
2022/12/7,41.880001,43.200001,40.549999,41.259998,41.259998,10824500
2022/12/8,41.560001,43.900002,40.299999,42.810001,42.810001,9361800
2022/12/9,41.599998,42.32,40.150002,40.240002,40.240002,10030200
2022/12/12,39.98,42.650002,39.650002,42.599998,42.599998,9962600
2022/12/13,46.009998,46.330002,38.5,38.689999,38.689999,20558300
2022/12/14,39.41,41.900002,38.82,40.189999,40.189999,16117600
2022/12/15,38.950001,39.599998,37.439999,37.98,37.98,12013400
2022/12/16,37.400002,38.009998,34.709999,36.599998,36.599998,18247400
2022/12/19,35.970001,36.68,34.509998,35.169998,35.169998,11168300
2022/12/20,34.75,36.860001,34.349998,34.970001,34.970001,9833200
2022/12/21,35.310001,36.099998,34.799999,35.150002,35.150002,6998600
2022/12/22,34.93,35.349998,32.950001,34.59,34.59,10335700
2022/12/23,34.77,35.98,33.669998,35.490002,35.490002,8222700
2022/12/27,34.5,34.560001,32.439999,32.650002,32.650002,10940800
2022/12/28,32.580002,33.48,31.83,32.529999,32.529999,7839700
2022/12/29,33.459999,35.330002,33.369999,34.779999,34.779999,7675500
2022/12/30,33.959999,35.869999,33.630001,35.389999,35.389999,8397900
2023/1/3,36.490002,36.93,33.369999,33.599998,33.599998,8514300
2023/1/4,34.59,38.5,34.540001,37.700001,37.700001,17737400
2023/1/5,34.709999,35.259998,32.75,33.529999,33.529999,16934500
2023/1/6,33.669998,33.75,31.549999,33.259998,33.259998,15527800
2023/1/9,35.189999,39.380001,34.720001,38.27,38.27,18904100
2023/1/10,37.759998,43.290001,37.740002,43.23,43.23,24496700
2023/1/11,41.959999,43.84,40.630001,43.790001,43.790001,16152700
2023/1/12,45.150002,47.650002,41.669998,47.549999,47.549999,20514700
2023/1/13,46.240002,50.630001,45.380001,49.98,49.98,22437800
